dateq,equally weighted
2000q1,99.39082
2000q2,100.0922
2000q3,100.2839
2000q4,100.2331
2001q1,100.2458
2001q2,100.1243
2001q3,100.5436
2001q4,101.9473
2002q1,104.155
2002q2,105.8132
2002q3,108.3608
2002q4,108.9765
2003q1,110.0191
2003q2,111.5254
2003q3,114.4048
2003q4,116.4872
2004q1,119.1642
2004q2,121.4656
2004q3,123.1955
2004q4,125.5892
2005q1,128.9219
2005q2,131.2005
2005q3,133.4332
2005q4,136.5979
2006q1,139.8792
2006q2,142.3197
2006q3,145.7475
2006q4,150.1678
2007q1,154.2392
2007q2,157.1815
2007q3,159.1063
2007q4,159.4525
2008q1,159.4304
2008q2,158.4497
2008q3,156.3536
2008q4,152.5097
2009q1,147.7369
2009q2,145.7329
2009q3,146.035
2009q4,146.676
2010q1,146.9884
2010q2,147.3697
2010q3,147.0748
2010q4,146.9303
2011q1,146.1523
2011q2,145.8001
2011q3,145.2326
2011q4,144.2566
2012q1,144.1226
2012q2,144.2166
2012q3,144.2293
2012q4,144.8721
2013q1,145.2584
2013q2,146.1281
2013q3,146.604
2013q4,147.7212
2014q1,149.1314
2014q2,149.7825
2014q3,150.3542
2014q4,150.8675
2015q1,152.2573
2015q2,152.2544
2015q3,153.1907
2015q4,153.8767
2016q1,154.9326
2016q2,156.0487
2016q3,157.3473
2016q4,158.5265
2017q1,158.5722
2017q2,160.0129
2017q3,160.9148
2017q4,161.4468
2018q1,162.4208
2018q2,163.3951
2018q3,163.2954
2018q4,164.0764
2019q1,165.1094
